STOCK,CURR_PRICE,OPEN,HIGH,LOW,PREV_CLOSE
NIOSAG,11.5,10.94,11.74,10.94,11.74
NIOSAD,8.58,#N/A,#N/A,#N/A,8.58
NIOSADG,11,#N/A,#N/A,#N/A,11
NIOSADD,0,#N/A,#N/A,#N/A,10
AAVAS,2268.25,2297,2301.6,2200.8,2292.95
GENERAAGRI,1.79,1.79,1.79,1.79,1.71
DCL,11.5,#N/A,#N/A,#N/A,11.5
GRSE,175.5,177.25,178.4,175.25,177.25
AAL,107.5,107.95,107.95,106,108
DOLFIN,45,45,45,45,45
SHUBHAM,70.5,#N/A,#N/A,#N/A,70.5
AKI,11.4,#N/A,#N/A,#N/A,11.4
SUNRETAIL,26.85,#N/A,#N/A,#N/A,26.85
SMGOLD,31,31,31,31,33.2
VIVIDM,15,#N/A,#N/A,#N/A,15
BCPL,50.3,51.9,51.9,48.6,50.9
ATGL,1150.15,1136.2,1158.5,1129.65,1147.6
NETRIPPLES,3.95,3.95,3.95,3.95,3.95
PHOSPHATE,57.35,51.95,57.35,51.95,54.65
MAN50ETF,150.1,151.5,151.5,149.3,151.56
TECHNOE,294,293.9,295,288.5,294.4
RONI,65,#N/A,#N/A,#N/A,65
SKIFL,7.41,#N/A,#N/A,#N/A,7.41
DGL,6.61,#N/A,#N/A,#N/A,6.61
IPRU3218,13.75,#N/A,#N/A,#N/A,13.75
IPRU3219,9.66,#N/A,#N/A,#N/A,9.66
IPRU9420,11,#N/A,#N/A,#N/A,11
IPRU9421,0,#N/A,#N/A,#N/A,10
ARYAN,6.6,#N/A,#N/A,#N/A,6.6
NIVAKA,7.31,#N/A,#N/A,#N/A,7.31
DALBHARAT,1500,1538.3,1554.5,1482.15,1536.45
ABSLNN50ET,352,356.8,356.8,352,356.85
NILASPACES,1.49,1.49,1.49,1.48,1.42
SRD,58.5,62,62,53.6,54
TREJHARA,35,32.1,36.35,31.5,33.1
AXISCCDID,0,#N/A,#N/A,#N/A,10
AXISCCDGG,0,#N/A,#N/A,#N/A,10
AXISCCDPD,0,#N/A,#N/A,#N/A,10
AXISCCGPG,10.41,10.41,10.41,10.41,10.29
DECCAN,34.4,35.45,36,33.35,35.25
AXITA,41.3,41.15,41.3,41.15,43
KPIGLOBAL,42.5,#N/A,#N/A,#N/A,42.5
HIKLASS,6,#N/A,#N/A,#N/A,6
RPSGVENT,354,338,358.3,328,338.15
SPENCER,71.35,73.9,73.9,71.35,73.05
GLOSTERLTD,690,680.2,709.95,680.2,692.6
XELPMOC,280.85,285.05,288.05,280.85,280.85
SPACAPS,0,#N/A,#N/A,#N/A,54.86
AARSHYAM,3.36,#N/A,#N/A,#N/A,3.36
RITCO,24.2,22.35,24.2,22.35,22
CHALET,145,141,145,140.2,141.95
ANMOL,103,#N/A,#N/A,#N/A,103
JONJUA,60,#N/A,#N/A,#N/A,60
KRANTI,18.25,19,19,18.25,19.75
ANUP,578.05,585,592,576.15,586.7
ARVINDFASN,130.5,130,130.9,128.05,131.1
UTISXN50,40.02,40.75,41.71,40,40.5
AIHL,13.77,13.77,13.77,13.77,13.12
JYOTIN,0,#N/A,#N/A,#N/A,10
AGOL,41.95,42.5,42.5,41.95,42.95
AARTECH,37,#N/A,#N/A,#N/A,37
HBEL,120.5,#N/A,#N/A,#N/A,120.5
MSTC,257.4,256.6,262.35,251.2,264
ROOPSHRI,21.5,#N/A,#N/A,#N/A,21.5
CHANDNIMACH,9.15,8.91,10.79,8.91,9.85
NSL,22.2,#N/A,#N/A,#N/A,22.2
RVNL,27.15,27.15,27.65,27.05,27.35
METROPOLIS,2400.15,2418.15,2464.85,2373,2386.45
KPITTECH,197.2,195,203.15,195,195.65
POLYCAB,1467.7,1515.3,1550.95,1462,1540.5
JINAAM,2.9,2.9,2.9,2.9,2.9
VRFILMS,80,77,80,77,78
VIKASMCORP,3.03,2.98,3.1,2.97,3.12
NEOGEN,864.75,869.3,882.65,861.75,870
GKP,26.55,#N/A,#N/A,#N/A,26.55
WORL,36,36,36,36,32.75
EVANS,285,#N/A,#N/A,#N/A,285
BMW,29.45,30.5,30.75,28,29.3
ARTEMISELC,37,38,38,35.05,36.6
MAHESH,4.2,4.2,4.2,4.2,4.24
CHCL,15.89,15.89,15.89,15.89,16.72
DEL,13,13,13,13,13.6
HARISH,33,31.35,34.65,31.35,33
PPL,135.15,140,141.7,135.15,140.9
DGCONTENT,7.71,7.86,7.86,7.48,7.69
PARSHVA,95.9,#N/A,#N/A,#N/A,95.9
ARL,30.95,32.5,32.5,30.8,31
EARUM,67.75,#N/A,#N/A,#N/A,67.75
SBC,42.4,42.4,42.45,42.35,42.7
INDIAMART,7931.15,8494,8550,7817.8,8794.45
CPML,17.2,#N/A,#N/A,#N/A,17.2
SKIEL,19,#N/A,#N/A,#N/A,19
DCMNVL,81,81.15,84,80.6,82.05
ICICIBANKN,325,333,333,325,333.98
NETFSNX150,46.99,#N/A,#N/A,#N/A,46.99
AFFLE,5517.7,5500,5559.95,5475,5548.25
SEACOAST,142.15,132.6,142.8,132.6,138.85
ICICIBANKP,173.53,176,177.7,172.13,176.73
SPANDANA,599.35,618,618,584.8,608.4
SWSOLAR,301.2,303.95,314.45,299.1,304.6
NOVATEOR,7.84,7.84,7.84,7.5,7.77
IIFLWAM,1130,1113.4,1142.5,1108,1099.9
IIFLSEC,52.5,50.25,52.9,49.9,49.5
APMFINVEST,24.3,24,24.95,23.05,24
MISQUITA,26.85,#N/A,#N/A,#N/A,26.85
GALACTICO,55,55,55,55,53.5
ELLORATRAD,47,47,47,47,47.95
NIESSPJ,5.99,5.99,5.99,5.99,5.45
NIESSPI,0,#N/A,#N/A,#N/A,0.25
NIESSPB,0,#N/A,#N/A,#N/A,0.3
NIESSPO,0,#N/A,#N/A,#N/A,0.24
NIESSPC,2.24,2.48,2.48,2.24,2.48
NIESSPP,0.28,#N/A,#N/A,#N/A,0.28
NIESSPA,0.3,#N/A,#N/A,#N/A,0.3
NIESSPG,0,#N/A,#N/A,#N/A,0.25
FLUOROCHEM,798,799,819.55,771.25,792.75
NIEHSPA,0,#N/A,#N/A,#N/A,0.02
NIEHSPB,0,#N/A,#N/A,#N/A,0.01
NIEHSPC,0,#N/A,#N/A,#N/A,0.01
NIEHSPF,0,#N/A,#N/A,#N/A,0.01
NIEHSPI,0.15,0.15,0.15,0.15,0.14
NIEHSPK,0,#N/A,#N/A,#N/A,0.01
NIEHSPM,0.04,#N/A,#N/A,#N/A,0.04
NIEHSPN,0,#N/A,#N/A,#N/A,0.01
IRCTC,1790.4,1782,1807.9,1757.45,1791.7
NIESSPD,0,#N/A,#N/A,#N/A,0.26
NIESSPE,3.6,#N/A,#N/A,#N/A,3.6
NIESSPF,0,#N/A,#N/A,#N/A,0.25
NIEHSPD,0.85,0.72,0.85,0.72,0.78
NIESSPH,0,#N/A,#N/A,#N/A,0.25
NIEHSPE,0,#N/A,#N/A,#N/A,0.01
NIESSPK,0,#N/A,#N/A,#N/A,0.24
NIEHSPG,8.3,8.42,8.42,8.3,8.42
NIEHSPH,2.97,#N/A,#N/A,#N/A,2.97
NIEHSPJ,12.49,12.49,12.49,12.49,13.87
NIEHSPL,0,#N/A,#N/A,#N/A,0.02
NIESSPL,1.75,#N/A,#N/A,#N/A,1.75
NIESSPM,24.5,#N/A,#N/A,#N/A,24.5
NIESSPN,0.26,#N/A,#N/A,#N/A,0.26
GOBLIN,17.45,17.45,17.45,17.45,17.45
GENSOL,75.3,#N/A,#N/A,#N/A,75.3
VISHWARAJ,115.4,116.8,120.4,111.6,113.1
GREENPANEL,232.9,219.9,232.9,219.9,221.85
SHAHLON,79.5,79.5,79.6,72.8,75.85
ABSLBANETF,326.7,332,332,325.1,339
MOUNT,35.1,#N/A,#N/A,#N/A,35.1
ANUROOP,7.95,7.95,7.95,7.95,7.95
