STOCK,CURR_PRICE,OPEN,HIGH,LOW,PREV_CLOSE
CONSOFINVT,57.4,56,59.15,55.65,57.05
CONTROLPR,304.75,296.7,315,281.2,298.45
CORALFINAC,24.8,24.9,25.85,24.2,25.45
CORDSCABLE,40.7,40.85,41.45,40,41.05
COROMANDEL,741,719.15,745,711,733.65
COSMOFILMS,657.6,655.05,677.95,650.2,659.95
COUNCODOS,2.05,2,2.15,2,2.1
COX&KINGS,1.1,1.15,1.15,1.05,1.1
CRAFTSMAN,1341,1350,1367.15,1336.55,1358.15
CREATIVE,99.5,101.6,101.9,99.05,100
CREATIVEYE,2.8,2.8,2.8,2.8,2.8
CREDITACC,597.2,600.3,607.55,592.6,605.85
CREST,79.25,80,80,76.1,78.35
CRISIL,1856.1,1824,1875.5,1824,1847.9
CROMPTON,385,378.5,386,373.3,380.1
CSBBANK,258.2,259.95,268,255,261.05
CTE,32.8,31.4,32.9,30.15,31.35
CUB,165.8,167.4,169.35,165.5,168.65
CUBEXTUB,28.5,28.95,29.35,28,28.95
CUMMINSIND,836.55,861.1,861.35,833.45,858
CUPID,218.75,219,224,216.5,221.2
CYBERMEDIA,11.55,11.95,11.95,11.15,11.7
CYBERTECH,127.25,126.85,130.35,126.1,128.95
CYIENT,736,739,751.5,730,734.9
DAAWAT,72.5,73.2,74.5,72.2,73.7
DABUR,539.5,539.8,545.25,535.7,541.9
DALALSTCOM,0.95,0.95,1,0.9,0.95
DALBHARAT,1507,1544.95,1564,1480.8,1537.5
DALMIASUG,254.85,238.95,260,235.25,241.7
DAMODARIND,22.95,23.2,23.3,22.6,23.15
DANGEE,168.2,164.15,175,162.3,164.2
DATAMATICS,116.8,114.4,120.8,113.5,114.1
DBCORP,81.15,81.05,82.8,81.05,82.25
DBL,542.7,544,554,538.45,546.55
DBREALTY,20.2,20.2,20.2,20.2,19.25
DBSTOCKBRO,8.2,8.45,8.5,8.2,8.4
DCAL,158.2,157.5,162.75,155.5,158.95
DCBBANK,90.9,89,93.4,89,91.5
DCM,25.5,25.85,25.85,23.25,24.35
DCMFINSERV,1.9,1.9,1.9,1.8,1.85
DCMNVL,81.5,82.75,84.5,80.15,82
DCMSHRIRAM,702,700,760,691.1,703.7
DCW,38.5,37.85,40.45,37.5,38.5
DECCANCE,419,419.45,426,415.5,422.6
DEEPAKFERT,259.6,261.7,272.8,258.55,263.65
DEEPAKNTR,1868,1787,1900,1767.9,1787.25
DEEPENR,37.2,38.1,38.1,36.6,37.1
DEEPINDS,41.15,41.15,41.15,41.15,39.2
DELTACORP,149.95,152.9,152.9,149.3,153.7
DELTAMAGNT,28.55,30.85,30.95,28.55,29.7
DEN,44.45,45.15,45.5,44.2,45.4
DENORA,248.5,251.55,251.8,247,248.55
DFMFOODS,339.75,340,344,337.75,341.3
DGCONTENT,7.7,7.85,7.85,7.5,7.65
DHAMPURSUG,226.7,215.3,237.2,214.3,219.6
DHANBANK,13.9,14.1,14.1,13.8,14.05
DHANI,178.25,174.75,183.5,173.05,179.55
DHANUKA,766.05,761,786.5,750.05,756.75
DHARSUGAR,6.8,6.5,6.9,6.45,6.6
DHFL,15.45,15.7,15.9,15.2,15.7
DHUNINV,290,296.35,298,290,299.7
DIAMONDYD,543.55,544.05,550,539.9,543.9
DICIND,391,395,395,385.05,385.85
DIGISPICE,31.45,33.8,34.2,31.05,32.6
DISHTV,9.3,9.3,9.4,9.2,9.3
DIVISLAB,4052.1,3910,4135,3909.6,3910.85
DIXON,4184,4175,4248,4150,4235.35
DLF,246.2,245.2,254.5,243.15,249.3
DLINKINDIA,100.15,99.4,101.45,98.6,100.15
DMART,2840,2889.8,2931.9,2818.9,2906.35
DNAMEDIA,1,1,1,0.95,0.95
DOLAT,63.75,64.4,65.8,63.5,64.4
DOLLAR,239.7,235.1,242.95,235,240.6
DONEAR,28.75,28.35,29.3,28.05,28.35
DPABHUSHAN,113.95,115.8,116.95,112.05,115.1
DPSCLTD,12.15,12.45,12.55,12.15,12.2
DPWIRES,129.65,126,141.5,125.9,122.4
DRCSYSTEMS,262.6,262.6,262.6,262.6,276.4
DREDGECORP,364,350,384,350,353.75
DRREDDY,5169,5140,5211,5125.15,5102.3
DSSL,78.6,79.95,83.8,78.15,79.4
DTIL,271.95,272,278.95,260.05,267.15
DUCON,7.3,7.1,7.5,7,7.15
DVL,98,101.8,101.8,97.5,99.5
DWARKESH,41.8,39.3,43.4,38.9,39.6
DYNAMATECH,1025,1045,1089.9,1019.25,1051.8
DYNPRO,500,505.5,518.6,495.1,505.5
EASEMYTRIP,187.2,185,192.75,184,187.7
EASTSILK,2.7,2.7,2.75,2.6,2.7
EASUNREYRL,2.25,2.2,2.25,2.05,2.15
EBIXFOREX,451.5,449,470,442.5,448.05
ECLERX,1236.25,1212.55,1266.05,1209,1230.6
EDELWEISS,58.4,59,60.7,58.05,59.7
EDUCOMP,2.7,2.55,2.7,2.55,2.65
EICHERMOT,2419.95,2442,2470.25,2414,2462.9
EIDPARRY,345.6,323,355.95,322,323.55
EIHAHOTELS,228.25,239.85,239.85,228,234.8
EIHOTEL,86.7,87,87.9,86.15,87.8
EIMCOELECO,342.85,337.95,348.25,333.35,344.35
EKC,132.65,132.65,132.65,132.65,139.6
ELECON,91.95,91,96.95,88.65,91.5
ELECTCAST,34.3,33.5,35,33.5,34.3
ELECTHERM,110.8,109.55,114.2,108.25,109.3
ELGIEQUIP,213.75,217,218.75,211.2,216.95
ELGIRUBCO,28.6,27.75,30.75,27,27.5
EMAMILTD,490.5,496,496,489.65,496.95
EMAMIPAP,119,120.3,122.9,117.2,122.6
EMAMIREAL,44.6,46.5,46.5,44,45.55
EMCO,1.5,1.45,1.5,1.45,1.45
EMKAY,64,64.05,66,63.75,65.75
EMMBI,79.95,80.95,82.45,78.65,81.45
ENDURANCE,1319.85,1285.7,1320,1275.25,1297.45
ENERGYDEV,8.45,8.85,8.95,8.45,8.6
ENGINERSIN,72.7,72.4,74.45,72.2,72.85
ENIL,146.5,149.95,149.95,145.75,149.05
EPL,223.9,226.85,229.9,223.8,227.55
EQUITAS,81,78.5,82.5,78.5,81.3
EQUITASBNK,55.6,55.75,56.9,55,54.75
ERIS,604.95,603.45,606,595.2,603.45
EROSMEDIA,20.15,20.3,21.2,20.15,20.5
ESABINDIA,1770,1820,1833.75,1768,1822.7
ESCORTS,1122.05,1120.7,1157,1111,1130.4
ESSARSHPNG,7.95,7.9,8.05,7.7,7.8
ESTER,146.05,144,152,141,141.9
EUROTEXIND,7.3,7.3,7.3,7.3,7.3
EVEREADY,294.6,297.6,300.8,293.5,297.65
EVERESTIND,317.15,321,344,311.95,320.5
EXCEL,1.95,1.95,1.95,1.95,1.9
EXCELINDUS,880,885,901,865,883.9
EXIDEIND,177.75,180.7,182.75,176.85,178.2
EXPLEOSOL,541,532.95,549.7,531.8,533.8
